"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"22977",10121,5,"A2666133","772","NEG",1998-02-09,"R8",7
"22981",10081,5,"A2666137","772","NEG",1998-02-10,"R5",7
"22985",10226,12,"A2666142","772","NEG",1998-02-10,NA,7
"22989",10630,2,"A2666149","772","NEG",1998-02-11,"R6",7
"22993",10575,1,"A2666153","772","NEG",1998-02-12,"R6",7
"23004",10165,2,"A2665991","772","NEG",1998-02-09,"R5",7
"23008",10121,6,"A2666044","772","NEG",1998-02-06,"R8",6
"23012",10595,5,"A2666106","772","NEG",1998-02-10,NA,7
"23016",10091,1,"A2666110","772","NEG",1998-02-12,"R3",7
"23021",10185,2,"A2665984","772","POS",1998-02-06,"R5",6
"23025",10346,3,"A2665895","772","POS",1998-02-04,"R2",6
"23029",10238,1,"A2665960","772","NEG",1998-02-09,NA,7
"23033",10134,1,"A2665964","772","NEG",1998-02-06,"R3",6
"23037",10226,13,"A2665970","772","NEG",1998-02-06,NA,6
"23041",10199,4,"A2665975","772","NEG",1998-02-05,"R5",6
"23045",10238,1,"A2665979","772","NEG",1998-02-09,NA,7
"23049",10185,1,"A2665983","772","POS",1998-02-05,"R5",6
"23053",10081,1,"A2665815","772","NEG",1998-02-04,"R5",6
"23057",10081,6,"A2665819","772","NEG",1998-02-04,"R5",6
"23061",10163,1,"A2665874","772","NEG",1998-02-03,NA,6
"23065",10097,1,"A2665881","772","NEG",1998-02-03,NA,6
"23069",10649,1,"A2665885","772","NEG",1998-02-04,"R8",6
"23073",10379,2,"A2665807","772","NEG",1998-02-04,"R1",6
"23077",10185,1,"A2665646","772","POS",1998-01-30,"R5",5
"23081",10618,2,"A2665778","772","NEG",1998-02-03,NA,6
"23089",10586,2,"A2665792","772","POS",1998-02-03,"R3",6
"23093",10242,2,"A2665798","772","NEG",1998-02-04,"R7",6
"23097",10553,5,"A2665802","772","NEG",1998-02-04,"R1",6
"23101",10379,1,"A2665806","772","NEG",1998-02-05,"R1",6
"23105",10191,1,"A2665611","772","NEG",1998-02-02,NA,6
"23109",10242,1,"A2665615","772","NEG",1998-02-02,"R7",6
"23113",10531,5,"A2665621","772","NEG",1998-01-29,"R5",5
"23117",10105,1,"A2665625","772","NEG",1998-01-30,NA,5
"23121",10324,4,"A2665631","772","NEG",1998-02-02,"R8",6
"23125",10324,3,"A2665636","772","NEG",1998-02-02,"R8",6
"23133",10586,1,"A2665446","772","NEG",1998-01-27,"R3",5
"23137",10590,3,"A2665455","772","NEG",1998-01-29,"R6",5
"23141",10505,4,"A2665459","772","NEG",1998-01-27,NA,5
"23145",10180,4,"A2665470","772","NEG",1998-01-27,NA,5
"23149",10116,2,"A2665474","772","NEG",1998-01-28,NA,5
"23153",10403,1,"A2665477","772","NEG",1998-01-28,"R1",5
"23157",10346,4,"A2665408","772","POS",1998-01-27,"R2",5
"23161",10196,1,"A2665412","772","NEG",1998-01-26,"R3",5
"23169",10600,2,"A2665420","772","POS",1998-01-28,"R4",5
"23173",10127,4,"A2665424","772","NEG",1998-01-27,"R4",5
"23177",10155,1,"A2665404","772","NEG",1998-01-28,"R5",5
"23181",10116,2,"A2665219","772","NEG",1998-01-26,NA,5
"23185",10204,1,"A2665227","772","NEG",1998-01-23,NA,4
"23189",10089,15,"A2665233","772","NEG",1998-01-23,NA,4
"23193",10149,1,"A2665237","772","NEG",1998-01-26,"R6",5
"23200",10467,2,"A2665248","772","NEG",1998-01-26,NA,5
"23204",10449,1,"A2665402","772","NEG",1998-01-28,"R5",5
"23220",10232,1,"A2665205","772","NEG",1998-01-26,"R3",5
"23224",10127,5,"A2665209","772","NEG",1998-01-26,"R4",5
"23228",10332,3,"A2665124","772","NEG",1998-01-20,"R3",4
"23232",10502,6,"A2665083","772","NEG",1998-01-23,"R2",4
"23236",10089,11,"A2665090","772","NEG",1998-01-22,NA,4
"23240",10567,3,"A2665096","772","NEG",1998-01-22,"R7",4
"23248",10089,14,"A2665106","772","NEG",1998-01-21,NA,4
"23252",10302,6,"A2665118","772","NEG",1998-01-22,"R4",4
"23256",10135,1,"A2665082","772","NEG",1998-01-20,"R6",4
"23260",10368,1,"A2664912","772","NEG",1998-01-19,"R1",4
"23264",10302,9,"A2664916","772","NEG",1998-01-19,"R4",4
"23268",10236,1,"A2664924","772","NEG",1998-01-19,NA,4
"23272",10398,1,"A2664928","772","NEG",1998-01-19,"R1",4
"23279",10647,3,"A2665078","772","NEG",1998-01-19,"R8",4
"23283",10266,2,"A2665081","772","NEG",1998-01-21,"R6",4
"23287",10203,2,"A2664789","772","NEG",1998-01-13,"R3",3
"23291",10169,1,"A2664794","772","NEG",1998-01-15,"R4",3
